Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,124.080002,125.510002,123.610001,124.269997,118.317070,4481416
2020-12-14,125.320000,126.243500,123.470001,123.529999,117.612511,5050023
2020-12-15,124.389999,125.930000,123.440002,125.930000,119.897552,4359601
2020-12-16,125.930000,126.572800,125.286003,125.550003,119.535759,4530096
2020-12-17,126.080002,126.089996,124.910004,125.550003,119.535759,3787962
2020-12-18,125.589996,126.400002,124.970001,125.849998,119.821373,7552845
2020-12-21,123.970001,124.180000,121.720001,123.389999,117.479225,6115671
2020-12-22,123.309998,124.220001,122.410004,123.610001,117.688690,4337757
2020-12-23,123.879997,125.209999,123.739998,123.900002,117.964798,2693889
2020-12-24,125.000000,125.099998,124.209999,124.690002,118.716957,1761122
2020-12-28,125.099998,126.599998,124.459999,124.820000,118.840729,3615222
2020-12-29,125.349998,125.480003,123.239998,123.800003,117.869591,3487007
2020-12-30,123.800003,124.849998,123.629997,124.339996,118.383720,3380494
2020-12-31,124.220001,126.029999,123.989998,125.879997,119.849945,3574696
2021-01-04,125.849998,125.917397,123.040001,123.940002,118.002884,5179161
2021-01-05,125.010002,126.680000,124.610001,126.139999,120.097496,6114619
2021-01-06,126.900002,131.880005,126.720001,129.289993,123.096596,7956740
2021-01-07,130.039993,130.460007,128.259995,128.990005,122.810974,4507382
2021-01-08,128.570007,129.320007,126.980003,128.529999,122.373001,4676487
2021-01-11,127.949997,129.675003,127.660004,128.580002,122.420616,5602466
2021-01-12,129.089996,129.850006,127.940002,129.210007,123.020439,3749213
2021-01-13,129.149994,129.750000,126.455002,126.919998,120.840118,7677739
2021-01-14,128.020004,130.160004,127.550003,128.970001,122.791931,7503180
2021-01-15,128.279999,129.240005,127.669998,128.389999,122.239708,4905506
2021-01-19,129.279999,129.589996,128.088501,129.020004,122.839531,5397956
2021-01-20,129.699997,131.059998,128.559998,130.080002,123.848747,5598705
2021-01-21,130.119995,132.240005,130.050003,131.649994,125.343529,12819233
2021-01-22,120.699997,120.699997,117.360001,118.610001,112.928200,38063533
2021-01-25,118.762398,119.538002,117.449997,118.580002,112.899651,13686391
2021-01-26,119.180000,122.589996,118.419998,122.489998,116.622345,10694708
2021-01-27,122.080002,124.790001,121.621399,122.470001,116.603302,12146541
2021-01-28,122.800003,123.199997,120.070000,120.080002,114.327782,8084051
2021-01-29,120.220001,121.300003,118.900002,119.110001,113.404251,11825496
